nam,ten_truong,ma_goc,ten_nganh,diem_chuan,to_hop_mon,he_dao_tao,yeu_cau_phu,phan_hieu,doi_tuong,ma_nganh,ghi_chu,university_id
2018,Đại học Y Dược - Đại học Huế,7720101,Y khoa,23.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2019,Đại học Y Dược - Đại học Huế,7720101,Y khoa,25.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2020,Đại học Y Dược - Đại học Huế,7720101,Y khoa,27.55,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2021,Đại học Y Dược - Đại học Huế,7720101,Y khoa,27.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2022,Đại học Y Dược - Đại học Huế,7720101,Y khoa,26.4,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2023,Đại học Y Dược - Đại học Huế,7720101,Y khoa,26.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2024,Đại học Y Dược - Đại học Huế,7720101,Y khoa,26.3,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2025,Đại học Y Dược - Đại học Huế,7720101,Y khoa,25.17,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2025,Đại học Y Dược - Đại học Huế,7720101,Y khoa,25.17,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2025,Đại học Y Dược - Đại học Huế,7720101,Y khoa,25.17,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,215
2022,Đại học Y Dược - Đại học Huế,7720101,Y khoa (có CC Tiếng Anh),24.4,B00,dai_tra,co_chung_chi,co_so_chinh,toan_quoc,7720101_02,,215
2018,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,18.15,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2019,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,18.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2020,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,19.75,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2021,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,19.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2022,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,19.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2023,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,19.05,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2024,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,19.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2024,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,19.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2025,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,17.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2025,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,17.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2025,Đại học Y Dược - Đại học Huế,7720110,Y học dự phòng,17.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,215
2018,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,20.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2019,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,21.75,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2020,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,24.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
